FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.270818, 0.001051, 0.054280, 0.053474, 0.109122, 0.053579, 0.053942
0.271327, 0.001129, 0.055504, 0.053489, 0.108772, 0.053327, 0.053562
0.276732, 0.000896, 0.057389, 0.053390, 0.108665, 0.056810, 0.057288
0.283414, 0.001007, 0.060175, 0.060579, 0.109042, 0.053344, 0.053618
0.270224, 0.000916, 0.054070, 0.053474, 0.109094, 0.053307, 0.053586
0.275531, 0.000933, 0.054097, 0.055041, 0.111723, 0.054343, 0.054670
0.270219, 0.000916, 0.054104, 0.053466, 0.108974, 0.053292, 0.053675
0.272646, 0.000923, 0.054137, 0.053805, 0.108092, 0.056288, 0.056612
0.269635, 0.000919, 0.054128, 0.053374, 0.108591, 0.053276, 0.053542
0.274066, 0.000931, 0.054166, 0.053433, 0.112802, 0.053347, 0.053665
0.274407, 0.000918, 0.054144, 0.056956, 0.109465, 0.053450, 0.053842
0.273226, 0.000926, 0.054073, 0.053365, 0.112153, 0.053337, 0.053635
0.270597, 0.000918, 0.054085, 0.053410, 0.109506, 0.053328, 0.053596
0.273462, 0.000928, 0.054107, 0.054132, 0.111614, 0.053345, 0.053609
0.275888, 0.000973, 0.059321, 0.053500, 0.109405, 0.053289, 0.053662
0.269975, 0.000923, 0.054086, 0.053634, 0.108588, 0.053362, 0.053667
0.275312, 0.000917, 0.054138, 0.053449, 0.110617, 0.056757, 0.057108
0.272426, 0.000932, 0.055675, 0.053419, 0.109658, 0.053360, 0.053674
0.270396, 0.000902, 0.054073, 0.053588, 0.108972, 0.053373, 0.053763
0.270005, 0.000931, 0.054207, 0.053478, 0.108685, 0.053369, 0.053635
0.272687, 0.000912, 0.054070, 0.053489, 0.111456, 0.053381, 0.053672
0.270042, 0.000936, 0.054065, 0.053453, 0.108707, 0.053567, 0.053817
0.276887, 0.000899, 0.054078, 0.053503, 0.112277, 0.056600, 0.057029
