FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
1.186498, 0.087747, 0.304226, 0.216753, 0.431723, 0.213266, 0.233796
1.183018, 0.087171, 0.303821, 0.214208, 0.430644, 0.213592, 0.234345
1.199305, 0.095731, 0.310847, 0.215808, 0.435906, 0.216558, 0.236744
1.191268, 0.090951, 0.312426, 0.213978, 0.430878, 0.213365, 0.233986
1.193037, 0.094747, 0.307580, 0.213881, 0.434588, 0.215072, 0.236988
1.183020, 0.087581, 0.300365, 0.213939, 0.434172, 0.213733, 0.234544
1.200157, 0.088453, 0.304639, 0.213841, 0.442660, 0.218107, 0.239017
1.187025, 0.088403, 0.301293, 0.216976, 0.434477, 0.213475, 0.234279
1.215518, 0.120731, 0.333609, 0.213946, 0.430545, 0.216647, 0.237418
1.190939, 0.088422, 0.309421, 0.213775, 0.430953, 0.216950, 0.236790
1.187130, 0.088109, 0.301041, 0.213893, 0.435468, 0.216956, 0.236728
1.218814, 0.112596, 0.330756, 0.217291, 0.432004, 0.218575, 0.238763
1.182571, 0.087264, 0.300089, 0.213962, 0.434953, 0.213404, 0.233567
1.214864, 0.115215, 0.328077, 0.214134, 0.436653, 0.216563, 0.236000
1.186250, 0.089197, 0.303335, 0.213695, 0.432161, 0.216803, 0.237059
1.189215, 0.091816, 0.304654, 0.213884, 0.431023, 0.219991, 0.239654
1.187476, 0.088113, 0.300845, 0.213678, 0.437568, 0.215064, 0.235385
1.189751, 0.088703, 0.304881, 0.217268, 0.429284, 0.216979, 0.238318
1.187877, 0.092442, 0.305495, 0.213812, 0.434916, 0.213597, 0.233654
1.198225, 0.088609, 0.307407, 0.213746, 0.439721, 0.216698, 0.237351
1.191438, 0.089300, 0.302049, 0.216940, 0.434095, 0.216239, 0.238354
1.192924, 0.091482, 0.304730, 0.218539, 0.435734, 0.213259, 0.233921
1.191962, 0.089103, 0.308242, 0.217866, 0.429764, 0.216106, 0.236090
