FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
2.952241, 0.464207, 0.943497, 0.474295, 0.958220, 0.485827, 0.576229
2.954185, 0.466107, 0.931146, 0.490510, 0.953908, 0.476094, 0.578621
2.958453, 0.433933, 0.905840, 0.472845, 0.997725, 0.489260, 0.582043
3.047074, 0.585981, 1.064788, 0.472500, 0.948111, 0.473275, 0.561675
2.907172, 0.417056, 0.891870, 0.477264, 0.938891, 0.484442, 0.599147
3.007431, 0.414448, 0.889328, 0.473683, 0.973804, 0.496831, 0.670616
2.885885, 0.406719, 0.889147, 0.467148, 0.974064, 0.468295, 0.555526
3.011309, 0.499060, 0.972571, 0.490315, 0.966383, 0.482337, 0.582040
2.932509, 0.458141, 0.932189, 0.469619, 0.951877, 0.485087, 0.578824
2.960221, 0.409600, 0.881680, 0.482644, 0.956216, 0.534852, 0.639681
2.967262, 0.441814, 0.946651, 0.466638, 0.976527, 0.483100, 0.577446
2.924123, 0.417596, 0.899372, 0.493286, 0.977262, 0.463050, 0.554203
2.982410, 0.430650, 0.914118, 0.482137, 0.975378, 0.499718, 0.610777
3.017273, 0.493763, 0.985649, 0.481522, 0.991312, 0.471914, 0.558790
2.969500, 0.509302, 0.997452, 0.478032, 0.929284, 0.474412, 0.564732
2.868458, 0.402630, 0.871998, 0.478301, 0.955195, 0.474353, 0.562964
2.965063, 0.500135, 0.979242, 0.475184, 0.932596, 0.482102, 0.578041
2.837323, 0.389518, 0.871186, 0.471320, 0.935225, 0.471619, 0.559592
2.952512, 0.488270, 0.956451, 0.474415, 0.958261, 0.465658, 0.563385
2.848558, 0.392152, 0.867954, 0.479831, 0.935470, 0.472771, 0.565303
3.004748, 0.503562, 0.973715, 0.475016, 0.969866, 0.489031, 0.586151
2.850004, 0.398342, 0.855923, 0.468556, 0.960410, 0.476431, 0.565115
2.950212, 0.488403, 0.956549, 0.486069, 0.935707, 0.476121, 0.571887
2.849411, 0.393424, 0.873553, 0.469220, 0.951945, 0.466852, 0.554693
3.011136, 0.516681, 0.995510, 0.484786, 0.957766, 0.482373, 0.573074
2.852357, 0.393603, 0.861203, 0.485984, 0.948000, 0.470165, 0.557170
2.969587, 0.501006, 0.984435, 0.475757, 0.943856, 0.472744, 0.565539
2.893617, 0.399184, 0.879610, 0.475550, 0.987554, 0.463852, 0.550903
3.070201, 0.498251, 0.983694, 0.501109, 1.007162, 0.479902, 0.578236
2.881562, 0.394952, 0.860703, 0.463301, 0.957230, 0.468620, 0.600328
3.202135, 0.627263, 1.139108, 0.499833, 0.978100, 0.487581, 0.585094
3.356322, 0.682912, 1.232462, 0.508636, 1.043398, 0.479175, 0.571826
3.089183, 0.538639, 1.021480, 0.503504, 0.988098, 0.476025, 0.576101
2.899702, 0.421658, 0.904347, 0.481509, 0.952927, 0.470611, 0.560919
3.234431, 0.626602, 1.114629, 0.479546, 1.020792, 0.504958, 0.619464
2.911593, 0.413600, 0.881617, 0.479580, 0.976772, 0.479100, 0.573624
3.309065, 0.679753, 1.184867, 0.519729, 1.019647, 0.484735, 0.584822
2.869045, 0.399141, 0.861876, 0.477769, 0.949903, 0.470374, 0.579497
3.004054, 0.519936, 0.991248, 0.481895, 0.964340, 0.471141, 0.566571
2.874288, 0.405583, 0.878639, 0.476064, 0.955145, 0.471278, 0.564440
3.090816, 0.502840, 0.978267, 0.468419, 0.974829, 0.553138, 0.669301
