FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.293743, 0.001115, 0.061265, 0.055746, 0.116292, 0.060055, 0.060440
0.295963, 0.000987, 0.060921, 0.056139, 0.118462, 0.060050, 0.060441
0.290744, 0.001018, 0.060864, 0.053159, 0.119654, 0.056706, 0.057067
0.289945, 0.000990, 0.056510, 0.054257, 0.119958, 0.058759, 0.059220
0.294044, 0.001069, 0.058032, 0.056813, 0.119343, 0.059447, 0.059856
0.299567, 0.001019, 0.057645, 0.060109, 0.124778, 0.056676, 0.057035
0.299064, 0.000986, 0.059994, 0.058044, 0.121417, 0.059204, 0.059609
0.302342, 0.000990, 0.059063, 0.062892, 0.120687, 0.058925, 0.059700
0.299621, 0.001666, 0.061398, 0.058137, 0.119520, 0.059919, 0.060566
0.294259, 0.000987, 0.060163, 0.058253, 0.120340, 0.055089, 0.055503
0.286644, 0.001016, 0.056017, 0.057938, 0.112920, 0.059285, 0.059769
0.285693, 0.001034, 0.058129, 0.053858, 0.115632, 0.057596, 0.058074
0.320658, 0.000995, 0.064567, 0.066013, 0.127479, 0.061204, 0.062599
0.310568, 0.001121, 0.062829, 0.060174, 0.127430, 0.059707, 0.060135
0.294223, 0.000992, 0.058707, 0.062155, 0.119632, 0.053312, 0.053729
0.299660, 0.001022, 0.061259, 0.056951, 0.120590, 0.060461, 0.060860
0.292495, 0.000995, 0.056364, 0.057488, 0.122002, 0.056151, 0.056641
0.294185, 0.001198, 0.058733, 0.064003, 0.113057, 0.057729, 0.058392
0.287036, 0.001230, 0.055696, 0.060218, 0.114296, 0.056436, 0.056826
0.291930, 0.000985, 0.056021, 0.059459, 0.116643, 0.059369, 0.059807
0.293189, 0.001046, 0.058858, 0.056872, 0.119663, 0.057372, 0.057796
0.281139, 0.001100, 0.056912, 0.058617, 0.112111, 0.053121, 0.053499
0.294636, 0.001015, 0.057530, 0.060282, 0.119772, 0.056689, 0.057052
