FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
1.283372, 0.114399, 0.346026, 0.221918, 0.461542, 0.227249, 0.253886
1.270048, 0.101653, 0.334693, 0.233037, 0.456530, 0.223927, 0.245788
1.281985, 0.098947, 0.329493, 0.232031, 0.460579, 0.235593, 0.259882
1.272928, 0.099013, 0.322505, 0.226344, 0.464290, 0.230549, 0.259789
1.257892, 0.098855, 0.322055, 0.224682, 0.455633, 0.233239, 0.255522
1.288857, 0.100429, 0.320641, 0.236437, 0.472919, 0.233281, 0.258860
1.281720, 0.108063, 0.336660, 0.236927, 0.450557, 0.236499, 0.257576
1.310512, 0.101516, 0.328462, 0.228971, 0.494009, 0.236446, 0.259070
1.266627, 0.097052, 0.318455, 0.233103, 0.464286, 0.228157, 0.250783
1.299732, 0.103598, 0.339219, 0.235756, 0.468320, 0.231993, 0.256437
1.269470, 0.097730, 0.327061, 0.233208, 0.451699, 0.232568, 0.257502
1.256385, 0.099146, 0.319659, 0.233941, 0.451222, 0.226857, 0.251563
1.272352, 0.097725, 0.322908, 0.237684, 0.467372, 0.221949, 0.244388
1.267830, 0.095422, 0.326296, 0.226051, 0.459397, 0.234143, 0.256086
1.271683, 0.097272, 0.322923, 0.237171, 0.465206, 0.224600, 0.246383
1.264091, 0.097506, 0.323512, 0.234909, 0.456456, 0.227471, 0.249214
1.281699, 0.099776, 0.338185, 0.232990, 0.453634, 0.235187, 0.256890
1.264883, 0.097523, 0.325758, 0.232426, 0.455242, 0.229648, 0.251457
1.275952, 0.108619, 0.329579, 0.238566, 0.462056, 0.223817, 0.245751
1.287836, 0.101314, 0.330656, 0.233883, 0.460577, 0.234847, 0.262720
1.256443, 0.096881, 0.319488, 0.232586, 0.447216, 0.235369, 0.257153
1.266104, 0.093361, 0.327532, 0.220003, 0.458839, 0.237080, 0.259730
1.290295, 0.100645, 0.330378, 0.244105, 0.463141, 0.230771, 0.252671
1.277730, 0.098599, 0.329406, 0.235795, 0.461548, 0.229318, 0.250981
1.329991, 0.099208, 0.327026, 0.231674, 0.505235, 0.243708, 0.266056
1.270170, 0.093982, 0.326883, 0.232958, 0.459648, 0.228921, 0.250681
1.268359, 0.102994, 0.331950, 0.231683, 0.452558, 0.227042, 0.252168
1.269127, 0.094256, 0.326483, 0.224273, 0.465113, 0.228595, 0.253258
1.274043, 0.096382, 0.327165, 0.227030, 0.465702, 0.229217, 0.254146
1.275337, 0.102036, 0.337601, 0.234765, 0.452640, 0.228140, 0.250331
1.274105, 0.094087, 0.327643, 0.236402, 0.449987, 0.235864, 0.260073
1.283355, 0.098167, 0.333328, 0.235606, 0.462453, 0.230225, 0.251968
1.260689, 0.093096, 0.331056, 0.236342, 0.447893, 0.223093, 0.245398
1.274111, 0.099734, 0.323892, 0.228913, 0.469208, 0.230145, 0.252098
1.286837, 0.100508, 0.343051, 0.234510, 0.456947, 0.230399, 0.252329
1.265587, 0.094561, 0.322082, 0.235074, 0.461224, 0.220920, 0.247207
1.266422, 0.104612, 0.336671, 0.235989, 0.448357, 0.223591, 0.245405
1.475800, 0.106165, 0.332943, 0.224552, 0.500627, 0.349410, 0.417678
1.320490, 0.130682, 0.364000, 0.239969, 0.464934, 0.229887, 0.251587
1.247485, 0.097467, 0.322134, 0.226864, 0.453422, 0.221998, 0.245065
1.244631, 0.095302, 0.323246, 0.224652, 0.449619, 0.225067, 0.247114
1.370042, 0.097115, 0.326587, 0.237360, 0.527717, 0.251521, 0.278378
1.452692, 0.128894, 0.402221, 0.271256, 0.510014, 0.241810, 0.269201
1.376857, 0.157527, 0.397092, 0.242369, 0.476942, 0.237139, 0.260454
1.324991, 0.107753, 0.342611, 0.244678, 0.476097, 0.236502, 0.261605
1.364421, 0.137452, 0.368362, 0.237338, 0.485997, 0.248142, 0.272724
1.381175, 0.107761, 0.341257, 0.242658, 0.535560, 0.236122, 0.261700
1.308181, 0.109246, 0.340877, 0.233775, 0.469918, 0.240684, 0.263611
1.337139, 0.096957, 0.336482, 0.243958, 0.485489, 0.246583, 0.271210
1.332687, 0.103060, 0.338851, 0.233399, 0.494580, 0.232967, 0.265857
1.363160, 0.120299, 0.361364, 0.256353, 0.478413, 0.235091, 0.267030
1.348202, 0.125455, 0.367383, 0.241088, 0.475263, 0.236999, 0.264468
1.387095, 0.127179, 0.356198, 0.240799, 0.470392, 0.269872, 0.319706
1.650633, 0.267635, 0.549613, 0.265373, 0.524672, 0.262485, 0.310975
1.448691, 0.211377, 0.456334, 0.235559, 0.487489, 0.238929, 0.269309
1.351122, 0.129862, 0.361714, 0.238590, 0.478276, 0.243117, 0.272542
1.435036, 0.120696, 0.355180, 0.263498, 0.537013, 0.244772, 0.279345
1.379272, 0.155471, 0.394243, 0.239074, 0.477866, 0.243055, 0.268089
1.338268, 0.121763, 0.355732, 0.236284, 0.490468, 0.223933, 0.255784
1.355197, 0.116664, 0.353858, 0.244256, 0.481411, 0.245469, 0.275672
1.359359, 0.146286, 0.392484, 0.227416, 0.475684, 0.236189, 0.263775
1.357140, 0.123740, 0.358176, 0.235333, 0.488109, 0.241572, 0.275522
1.359543, 0.119375, 0.378800, 0.256163, 0.467920, 0.232220, 0.256660
1.297524, 0.097520, 0.335514, 0.241760, 0.464400, 0.229309, 0.255850
1.384164, 0.105299, 0.344126, 0.252160, 0.523683, 0.239118, 0.264195
1.453164, 0.109438, 0.355905, 0.292895, 0.536757, 0.240303, 0.267607
1.420195, 0.111832, 0.358857, 0.310489, 0.494408, 0.232574, 0.256441
1.320691, 0.109875, 0.348444, 0.241133, 0.467759, 0.240898, 0.263355
1.316092, 0.115560, 0.359089, 0.227238, 0.466938, 0.232198, 0.262827
1.359030, 0.112011, 0.353896, 0.241807, 0.498421, 0.240457, 0.264906
1.348941, 0.109137, 0.345504, 0.245333, 0.500105, 0.231872, 0.257999
1.347159, 0.110452, 0.349276, 0.244652, 0.489841, 0.237326, 0.263390
1.339123, 0.108783, 0.346534, 0.240921, 0.481537, 0.246636, 0.270131
1.327748, 0.106195, 0.344261, 0.243665, 0.483571, 0.231709, 0.256251
1.328603, 0.110548, 0.346874, 0.231465, 0.484399, 0.239743, 0.265865
1.310710, 0.105352, 0.344990, 0.236055, 0.468693, 0.237142, 0.260972
1.326919, 0.108346, 0.346666, 0.247765, 0.476585, 0.232216, 0.255903
1.326518, 0.106796, 0.347260, 0.233379, 0.478628, 0.242824, 0.267251
1.430510, 0.118977, 0.369535, 0.287560, 0.503737, 0.243603, 0.269678
1.319201, 0.106150, 0.330816, 0.244255, 0.476859, 0.238116, 0.267271
1.365262, 0.140326, 0.370795, 0.236391, 0.497516, 0.233378, 0.260560
1.300481, 0.105051, 0.333401, 0.238913, 0.473589, 0.232126, 0.254578
1.294089, 0.100757, 0.333408, 0.238839, 0.472217, 0.225151, 0.249625
1.344610, 0.106489, 0.333844, 0.233436, 0.483325, 0.248882, 0.294005
1.329506, 0.121845, 0.347323, 0.228870, 0.468882, 0.261545, 0.284431
1.314458, 0.098737, 0.326206, 0.235485, 0.478699, 0.248742, 0.274068
1.324673, 0.097385, 0.339001, 0.246148, 0.484421, 0.228275, 0.255103
1.311869, 0.109611, 0.337624, 0.244145, 0.471168, 0.236803, 0.258932
