FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
1.229999, 0.119834, 0.334146, 0.217136, 0.435748, 0.218652, 0.242969
1.257922, 0.142600, 0.355432, 0.220697, 0.444124, 0.213317, 0.237669
1.246078, 0.116387, 0.335582, 0.222985, 0.444751, 0.214689, 0.242760
1.227947, 0.107563, 0.327333, 0.213766, 0.441378, 0.220387, 0.245470
1.242547, 0.136035, 0.350360, 0.215915, 0.438038, 0.213426, 0.238234
1.215698, 0.109578, 0.328994, 0.213851, 0.433699, 0.215416, 0.239154
1.242925, 0.136581, 0.351336, 0.216842, 0.435152, 0.215177, 0.239595
1.251316, 0.138845, 0.359013, 0.217303, 0.433534, 0.216689, 0.241466
1.223105, 0.110453, 0.326909, 0.217442, 0.440680, 0.213395, 0.238074
1.218630, 0.113192, 0.326095, 0.217375, 0.430062, 0.217852, 0.245098
1.232860, 0.134040, 0.346761, 0.213874, 0.434313, 0.213650, 0.237912
1.244208, 0.111361, 0.331296, 0.213784, 0.448805, 0.225581, 0.250323
1.247009, 0.142509, 0.359121, 0.213882, 0.434728, 0.214644, 0.239278
1.251369, 0.141915, 0.356417, 0.215717, 0.433350, 0.221633, 0.245885
1.216296, 0.107444, 0.320205, 0.213815, 0.437062, 0.220496, 0.245214
1.228306, 0.108681, 0.322930, 0.219280, 0.438673, 0.223176, 0.247423
1.261101, 0.136481, 0.359347, 0.217335, 0.443658, 0.216515, 0.240761
1.338977, 0.106757, 0.344781, 0.292081, 0.461482, 0.216864, 0.240633
1.242576, 0.132712, 0.348757, 0.217251, 0.438546, 0.214551, 0.238022
1.238596, 0.134056, 0.346869, 0.213815, 0.440030, 0.213298, 0.237882
1.215695, 0.107553, 0.323886, 0.214018, 0.437339, 0.216613, 0.240452
1.214328, 0.106304, 0.322655, 0.217246, 0.436587, 0.213536, 0.237840
1.241363, 0.134180, 0.346866, 0.218077, 0.438646, 0.213462, 0.237774
1.223717, 0.106574, 0.328053, 0.214025, 0.444420, 0.213496, 0.237219
1.240392, 0.132927, 0.345604, 0.217199, 0.436309, 0.217849, 0.241280
1.232786, 0.134236, 0.347092, 0.213862, 0.433737, 0.213369, 0.238095
1.223996, 0.110832, 0.323624, 0.220313, 0.439458, 0.216709, 0.240601
