FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.270398, 0.000913, 0.054153, 0.053387, 0.109260, 0.053309, 0.053598
0.274175, 0.000954, 0.054368, 0.053489, 0.108855, 0.057157, 0.057463
0.269756, 0.000904, 0.054030, 0.053391, 0.108648, 0.053325, 0.053687
0.270087, 0.000921, 0.054040, 0.054326, 0.108058, 0.053338, 0.053663
0.273914, 0.000918, 0.054106, 0.056779, 0.109324, 0.053409, 0.053705
0.273303, 0.000931, 0.057283, 0.053412, 0.108982, 0.053366, 0.053626
0.270992, 0.000915, 0.054091, 0.053356, 0.108973, 0.054161, 0.054572
0.269280, 0.000929, 0.054167, 0.053449, 0.108093, 0.053314, 0.053571
0.272355, 0.000911, 0.054275, 0.053466, 0.111018, 0.053292, 0.053596
0.269785, 0.000933, 0.054144, 0.053462, 0.108602, 0.053341, 0.053577
0.273831, 0.000897, 0.054125, 0.056425, 0.109534, 0.053345, 0.053747
0.269954, 0.000923, 0.054068, 0.053553, 0.108728, 0.053336, 0.053605
0.275919, 0.000913, 0.054217, 0.053480, 0.114227, 0.053655, 0.053995
0.270293, 0.000934, 0.054181, 0.053452, 0.109089, 0.053329, 0.053571
0.270439, 0.000899, 0.054088, 0.053437, 0.109257, 0.053282, 0.053657
0.269876, 0.000921, 0.054098, 0.053474, 0.108584, 0.053445, 0.053720
0.272635, 0.000925, 0.056596, 0.053517, 0.108853, 0.053367, 0.053669
0.274030, 0.000930, 0.054116, 0.053398, 0.109688, 0.056566, 0.056828
0.270517, 0.000973, 0.054376, 0.053427, 0.108970, 0.053361, 0.053744
0.269984, 0.000926, 0.054114, 0.053468, 0.108797, 0.053321, 0.053605
0.269514, 0.000914, 0.054076, 0.053511, 0.108284, 0.053373, 0.053643
0.275123, 0.000930, 0.054057, 0.054330, 0.110801, 0.055623, 0.055935
0.270272, 0.000904, 0.054087, 0.053409, 0.109078, 0.053324, 0.053698
