FT, P2S1OT, P2S1, P1S1, P2S2, P1S2OT, P1S2
0.482471, 0.007643, 0.098283, 0.091389, 0.190645, 0.100315, 0.102154
0.482949, 0.007110, 0.097795, 0.091508, 0.196227, 0.095847, 0.097419
0.490591, 0.006364, 0.101787, 0.100176, 0.191067, 0.095884, 0.097561
0.483918, 0.006532, 0.097105, 0.095841, 0.192856, 0.096489, 0.098116
0.502838, 0.005927, 0.100952, 0.099403, 0.205224, 0.095776, 0.097259
0.496223, 0.005943, 0.101193, 0.099811, 0.195673, 0.096354, 0.099546
0.491684, 0.005863, 0.102820, 0.099465, 0.196458, 0.091450, 0.092941
0.482261, 0.006047, 0.096706, 0.091739, 0.196794, 0.093914, 0.097022
0.484033, 0.005849, 0.100606, 0.098643, 0.191974, 0.091314, 0.092810
0.484966, 0.005955, 0.096558, 0.091834, 0.199091, 0.094193, 0.097483
0.484936, 0.005802, 0.100800, 0.096977, 0.191006, 0.094678, 0.096153
0.492566, 0.005943, 0.106030, 0.093847, 0.198196, 0.091410, 0.094493
0.482769, 0.005861, 0.096468, 0.091707, 0.196773, 0.096111, 0.097821
0.507454, 0.006791, 0.102281, 0.098554, 0.203657, 0.099299, 0.102962
0.489302, 0.006828, 0.101920, 0.096485, 0.191140, 0.098047, 0.099757
0.506517, 0.005937, 0.104356, 0.099358, 0.200501, 0.098734, 0.102302
0.499880, 0.006768, 0.101873, 0.100472, 0.199580, 0.096479, 0.097955
0.495304, 0.005973, 0.099706, 0.096558, 0.200465, 0.095509, 0.098575
0.504752, 0.005840, 0.102703, 0.102116, 0.202479, 0.095950, 0.097454
0.495522, 0.005928, 0.101668, 0.096214, 0.197748, 0.096808, 0.099892
0.493493, 0.005808, 0.096656, 0.097357, 0.201726, 0.096286, 0.097754
0.495792, 0.007084, 0.101452, 0.100111, 0.196998, 0.094059, 0.097231
0.497602, 0.005872, 0.104015, 0.100644, 0.190418, 0.101022, 0.102525
0.505399, 0.005948, 0.100993, 0.102483, 0.198871, 0.099982, 0.103052
0.478024, 0.005828, 0.102783, 0.096139, 0.186085, 0.091466, 0.093017
0.493748, 0.006030, 0.096755, 0.094456, 0.195456, 0.103497, 0.107081
0.504301, 0.005807, 0.105678, 0.100196, 0.199096, 0.097619, 0.099331
0.498431, 0.006264, 0.101324, 0.096395, 0.201522, 0.096068, 0.099190
0.491440, 0.005841, 0.101952, 0.095261, 0.195400, 0.097115, 0.098827
0.500587, 0.006919, 0.105746, 0.094507, 0.197925, 0.098823, 0.102409
